County	 FIPS	Age-Adjusted Incidence Rate	Lower 95% Confidence Interval	Upper 95% Confidence Interval	Average Annual Count	Recent Trend	Recent 5-Year Trend in Incidence Rates	Lower 95% Confidence Interval	Upper 95% Confidence Interval
"Emmet County, Michigan(6,10)"	26047	32.2	24.5	41.6	13	stable	-0.7	-30.8	42.5
"Nevada County, California(7,8)"	6057	32.2	27.9	37	47	rising	3.1	0.6	5.7
"Union County, Ohio(6,10)"	39159	32.1	25.3	40.1	16	stable	-10.3	-36.9	27.5
"Carroll County, Maryland(6,10)"	24013	32.1	28.4	36.1	59	stable	-3.5	-17.8	13.3
"Clay County, West Virginia(6,10)"	54015	32	18.9	51.4	4	stable	19	-37.2	125.6
"Virginia Beach City, Virginia(6,10)"	51810	32	29.6	34.5	142	stable	5.9	-1.8	14.2
"Hamblen County, Tennessee(6,10)"	47063	32	26.3	38.5	23	stable	-8	-20.8	6.9
"Palo Alto County, Iowa(7)"	19147	31.9	18.3	52.1	4	*	*	*	*
"Goochland County, Virginia(6,10)"	51075	31.9	23.2	43.2	10	stable	-18.6	-43.6	17.3
"Snohomish County, Washington(7,8)"	53061	31.9	30	33.8	240	rising	3.5	3	4.1
"Anne Arundel County, Maryland(6,10)"	24003	31.8	29.8	34	189	stable	-3.1	-11.6	6.3
"Amador County, California(7,8)"	6005	31.8	25.4	39.6	19	rising	3.7	0.5	7
"Cumberland County, Pennsylvania(6,10)"	42041	31.7	28.8	34.9	92	stable	-1.3	-17.6	18.2
"Nassau County, Florida(6,10)"	12089	31.7	26.6	37.4	30	stable	-4.4	-15.1	7.7
"Avery County, North Carolina(6,10)"	37011	31.6	22.2	44.2	8	stable	12.7	-9	39.6
"Harford County, Maryland(6,10)"	24025	31.6	28.6	34.8	87	stable	3.4	-1	8
"Jefferson County, Tennessee(6,10)"	47089	31.6	25.6	38.6	21	stable	3.8	-4.9	13.2
"Montgomery County, Pennsylvania(6,10)"	42091	31.6	30	33.2	307	stable	4.9	-0.7	10.9
"Pitkin County, Colorado(6,10)"	8097	31.6	20.4	46.7	6	stable	-2.8	-30	35
"Carroll County, Georgia(7,8)"	13045	31.6	26.9	36.8	34	stable	2.5	-0.3	5.4
"Brown County, Wisconsin(6,10)"	55009	31.5	28.5	34.7	82	stable	-5.7	-21.7	13.6
"Madison County, Virginia(6,10)"	51113	31.5	20.5	46.8	6	stable	11.2	-20.8	56.1
"Franklin County, Kentucky(7,8)"	21073	31.5	25.3	38.7	19	stable	3.7	0	7.5
"Bonneville County, Idaho(6,10)"	16019	31.4	26.7	36.7	32	stable	9.9	-10.3	34.7
"Howard County, Iowa(7)"	19089	31.4	18.1	50.9	4	*	*	*	*
"Blount County, Tennessee(6,10)"	47009	31.3	27.4	35.7	49	stable	-5.1	-19.1	11.3
"Newport County, Rhode Island(6,10)"	44005	31.3	26.7	36.6	34	stable	5.5	-15	30.8
"Tillamook County, Oregon(6,10)"	41057	31.3	23.4	41.3	12	stable	-14	-40	23.2
"Manitowoc County, Wisconsin(6,10)"	55071	31.3	26.5	36.8	32	stable	-2.2	-19.7	19
"Waynesboro City, Virginia(6,10)"	51820	31.3	22.2	43	8	stable	-6.7	-19	7.6
"Brown County, Indiana(6,10)"	18013	31.3	20.9	45.6	7	stable	-23.2	-43.8	4.9
"Washington County, Oregon(6,10)"	41067	31.2	29.1	33.5	170	stable	-2	-7.8	4.1
"Grafton County, New Hampshire(6,10)"	33009	31.2	26.6	36.4	36	stable	-1.9	-13.5	11.3
"Graves County, Kentucky(7,8)"	21083	31.2	24.1	39.7	14	stable	1.4	-2.8	5.8
